Column number,Name,Type
1, Year                               , num 
2, Northeast_cows                     , num 
3, Lake_States_cows                   , num 
4, Corn_Belt_cows                     , num 
5, Northern_Plains_cows               , num 
6, Appalachia_cows                    , num 
7, Southeast_cows                     , num 
8, Delta_States_cows                  , num 
9, Southern_Plains_cows               , num 
10, Mountain_cows                      , num 
11, West_Coast_cows                    , num 
12, Other_States_cows                  , num 
13, United_States_cows                 , num 
14, Northeast_yield_kg_per_cow         , num 
15, Lake_States_yield_kg_per_cow       , num 
16, Corn_Belt_yield_kg_per_cow         , num 
17, Northern_Plains_yield_kg_per_cow   , num 
18, Appalachia_yield_kg_per_cow        , num 
19, Southeast_yield_kg_per_cow         , num 
20, Delta_States_yield_kg_per_cow      , num 
21, Southern_Plains_yield_kg_per_cow   , num 
22, Mountain_yield_kg_per_cow          , num 
23, West_Coast_yield_kg_per_cow        , num 
24, Other_States_yield_kg_per_cow      , num 
25, United_States_yield_kg_per_cow     , num 
26, Northeast_million_kg_produced      , num 
27, Lake_States_million_kg_produced    , num 
28, Corn_Belt_million_kg_produced      , num 
29, Northern_Plains_million_kg_produced, num 
30, Appalachia_million_kg_produced     , num 
31, Southeast_million_kg_produced      , num 
32, Delta_States_million_kg_produced   , num 
33, Southern_Plains_million_kg_produced, num 
34, Mountain_million_kg_produced       , num 
35, West_Coast_million_kg_produced     , num 
36, Other_States_million_kg_produced   , num 
37, United_States_million_kg_produced  , num 
